#Simulation time: 197.63
#Flow at exit main exit( ID 1 )
#Time (s)  cummulative number of agents 

22.028846  1
25.038462  2
28.028846  3
31.028846  4
34.038462  5
37.028846  6
40.038462  7
41.884615  8
42.307692  9
45.634615  10
46.028846  11
49.028846  12
49.605769  13
51.865385  14
52.028846  15
55.028846  16
56.028846  17
57.759615  18
58.028846  19
61.038462  20
62.490385  21
63.394231  22
64.038462  23
67.038462  24
70.038462  25
73.028846  26
75.576923  27
76.028846  28
76.596154  29
77.682692  30
78.932692  31
79.038462  32
80.211538  33
82.028846  34
84.634615  35
85.028846  36
85.798077  37
87.000000  38
88.028846  39
88.211538  40
89.875000  41
91.038462  42
94.028846  43
94.846154  44
96.336538  45
97.028846  46
97.634615  47
100.028846  48
101.894231  49
102.298077  50
106.028846  51
109.028846  52
109.634615  53
111.798077  54
112.028846  55
112.875000  56
114.038462  57
115.028846  58
115.298077  59
118.038462  60
120.701923  61
121.028846  62
122.490385  63
124.038462  64
124.778846  65
127.038462  66
127.442308  67
128.644231  68
130.038462  69
130.807692  70
133.038462  71
136.038462  72
138.192308  73
139.028846  74
139.355769  75
140.423077  76
141.740385  77
142.028846  78
145.028846  79
145.971154  80
147.663462  81
148.028846  82
151.038462  83
154.028846  84
157.038462  85
159.807692  86
160.038462  87
160.903846  88
162.067308  89
162.298077  90
163.288462  91
166.480769  92
168.413462  93
169.634615  94
173.221154  95
178.480769  96
179.692308  97
184.009615  98
188.365385  99
192.134615  100
193.451923  101
194.644231  102
195.490385  103
197.567308  104

