#Simulation time: 197.63
#Flow at exit main exit( ID 0 )
#Time (s)  cummulative number of agents 

22.019231  1
25.028846  2
28.019231  3
31.028846  4
34.028846  5
37.019231  6
40.028846  7
42.288462  8
42.923077  9
43.019231  10
45.115385  11
46.028846  12
48.442308  13
49.028846  14
51.932692  15
52.019231  16
55.028846  17
57.750000  18
58.019231  19
59.711538  20
61.028846  21
61.778846  22
62.932692  23
63.826923  24
64.875000  25
67.028846  26
67.307692  27
70.019231  28
70.365385  29
71.865385  30
73.028846  31
76.019231  32
76.230769  33
78.153846  34
79.019231  35
81.923077  36
82.028846  37
84.375000  38
85.019231  39
86.798077  40
88.028846  41
90.692308  42
91.019231  43
92.028846  44
94.019231  45
95.461538  46
97.019231  47
97.932692  48
99.826923  49
100.028846  50
101.192308  51
102.298077  52
103.019231  53
105.182692  54
106.028846  55
109.028846  56
110.240385  57
112.028846  58
115.019231  59
116.721154  60
117.990385  61
118.019231  62
120.048077  63
121.028846  64
121.394231  65
122.932692  66
124.865385  67
126.096154  68
127.019231  69
130.028846  70
131.096154  71
132.375000  72
133.019231  73
135.509615  74
136.019231  75
136.894231  76
139.028846  77
140.384615  78
142.028846  79
143.019231  80
145.019231  81
148.019231  82
148.336538  83
151.019231  84
151.836538  85
154.019231  86
157.028846  87
160.019231  88
160.211538  89
162.288462  90
167.461538  91
170.913462  92
172.586538  93
174.326923  94
181.250000  95
182.557692  96
183.855769  97
185.153846  98
188.528846  99
189.836538  100
191.067308  101
192.307692  102
196.317308  103
197.625000  104

