#Simulation time: 197.63
#Flow at exit main exit( ID 4 )
#Time (s)  cummulative number of agents 

20.701923  1
23.701923  2
26.701923  3
29.701923  4
32.701923  5
35.711538  6
38.711538  7
42.000000  8
42.884615  9
43.961538  10
45.105769  11
47.701923  12
47.855769  13
49.192308  14
50.701923  15
52.326923  16
53.701923  17
56.701923  18
56.903846  19
59.701923  20
60.807692  21
61.980769  22
65.663462  23
68.451923  24
71.538462  25
71.596154  26
72.875000  27
74.134615  28
74.500000  29
75.951923  30
77.451923  31
77.509615  32
80.509615  33
83.028846  34
83.509615  35
84.288462  36
85.461538  37
86.509615  38
86.644231  39
89.509615  40
90.557692  41
91.855769  42
92.519231  43
93.173077  44
95.500000  45
98.509615  46
100.653846  47
101.509615  48
102.500000  49
102.750000  50
104.701923  51
107.701923  52
108.317308  53
109.519231  54
110.701923  55
113.701923  56
113.846154  57
115.115385  58
116.701923  59
117.000000  60
119.701923  61
120.125000  62
120.807692  63
123.903846  64
125.221154  65
125.663462  66
128.038462  67
128.442308  68
129.269231  69
131.538462  70
131.644231  71
133.067308  72
134.500000  73
137.375000  74
137.519231  75
138.692308  76
140.509615  77
142.384615  78
143.509615  79
143.701923  80
146.509615  81
149.509615  82
149.980769  83
152.067308  84
152.509615  85
153.384615  86
155.509615  87
156.730769  88
158.038462  89
158.509615  90
161.519231  91
162.038462  92
162.509615  93
164.230769  94
165.538462  95
166.836538  96
171.653846  97
173.086538  98
179.528846  99
182.163462  100
183.471154  101
184.759615  102
186.625000  103
187.980769  104

