#Simulation time: 197.63
#Flow at exit main exit( ID 6 )
#Time (s)  cummulative number of agents 

22.048077  1
25.048077  2
28.048077  3
31.048077  4
34.048077  5
37.048077  6
40.048077  7
40.846154  8
42.634615  9
43.096154  10
46.048077  11
46.201923  12
49.048077  13
49.240385  14
52.048077  15
52.096154  16
54.730769  17
55.048077  18
58.048077  19
59.807692  20
60.557692  21
61.048077  22
64.009615  23
67.048077  24
67.711538  25
69.951923  26
70.048077  27
71.269231  28
73.048077  29
75.115385  30
76.048077  31
77.413462  32
79.048077  33
79.144231  34
81.192308  35
82.048077  36
84.798077  37
85.048077  38
86.115385  39
88.048077  40
89.115385  41
91.048077  42
92.942308  43
94.048077  44
97.048077  45
97.451923  46
100.048077  47
100.653846  48
100.846154  49
101.961538  50
103.096154  51
103.269231  52
106.048077  53
106.615385  54
108.423077  55
109.048077  56
109.759615  57
112.048077  58
115.048077  59
117.490385  60
118.048077  61
120.057692  62
120.557692  63
121.048077  64
122.423077  65
123.913462  66
124.009615  67
127.048077  68
130.048077  69
130.317308  70
133.028846  71
133.048077  72
136.048077  73
136.288462  74
137.596154  75
139.048077  76
141.480769  77
142.048077  78
142.798077  79
144.105769  80
145.048077  81
147.442308  82
148.048077  83
150.048077  84
151.048077  85
153.307692  86
154.048077  87
157.048077  88
158.875000  89
160.048077  90
160.846154  91
161.961538  92
164.942308  93
166.269231  94
167.567308  95
174.961538  96
183.115385  97
185.548077  98
187.586538  99
189.855769  100
191.086538  101
192.192308  102
192.855769  103
193.769231  104

