#Simulation time: 197.63
#Flow at exit main exit( ID 5 )
#Time (s)  cummulative number of agents 

22.019231  1
25.019231  2
28.028846  3
31.028846  4
34.019231  5
37.028846  6
40.019231  7
42.028846  8
42.942308  9
43.009615  10
46.028846  11
46.173077  12
49.019231  13
49.471154  14
51.951923  15
52.019231  16
55.028846  17
55.567308  18
57.971154  19
58.019231  20
61.019231  21
61.480769  22
62.451923  23
64.009615  24
65.615385  25
66.932692  26
67.019231  27
68.240385  28
70.019231  29
72.144231  30
73.019231  31
74.211538  32
76.019231  33
77.067308  34
79.019231  35
79.480769  36
82.028846  37
85.019231  38
86.961538  39
88.028846  40
89.163462  41
90.471154  42
91.019231  43
91.778846  44
94.028846  45
96.326923  46
97.019231  47
97.730769  48
99.048077  49
100.019231  50
100.346154  51
102.019231  52
103.009615  53
106.028846  54
107.567308  55
109.019231  56
111.519231  57
112.019231  58
112.826923  59
115.028846  60
115.480769  61
117.884615  62
118.028846  63
120.125000  64
121.028846  65
122.442308  66
123.028846  67
124.009615  68
125.846154  69
127.028846  70
129.923077  71
130.019231  72
132.798077  73
133.028846  74
135.557692  75
136.019231  76
136.875000  77
139.028846  78
142.028846  79
143.346154  80
145.028846  81
147.432692  82
148.019231  83
148.750000  84
150.067308  85
151.019231  86
151.384615  87
154.028846  88
156.365385  89
157.019231  90
159.509615  91
160.019231  92
161.605769  93
162.028846  94
164.730769  95
166.250000  96
169.019231  97
170.336538  98
172.000000  99
174.923077  100
176.307692  101
182.019231  102
183.644231  103
185.471154  104

