#Simulation time: 197.63
#Flow at exit main exit( ID 7 )
#Time (s)  cummulative number of agents 

20.298077  1
23.298077  2
26.298077  3
29.298077  4
32.298077  5
35.298077  6
38.298077  7
41.096154  8
42.182692  9
43.201923  10
44.298077  11
45.173077  12
47.298077  13
48.134615  14
50.298077  15
51.951923  16
53.298077  17
55.836538  18
56.298077  19
57.163462  20
59.298077  21
61.913462  22
61.932692  23
63.259615  24
63.788462  25
64.567308  26
65.355769  27
68.298077  28
71.298077  29
73.307692  30
74.298077  31
74.605769  32
75.903846  33
77.298077  34
80.298077  35
81.394231  36
83.076923  37
83.298077  38
84.355769  39
86.298077  40
89.298077  41
92.298077  42
92.971154  43
94.221154  44
95.298077  45
95.461538  46
97.701923  47
98.298077  48
99.567308  49
101.096154  50
102.182692  51
104.298077  52
104.548077  53
105.807692  54
106.961538  55
107.298077  56
110.298077  57
113.298077  58
116.192308  59
116.298077  60
117.932692  61
119.298077  62
120.173077  63
121.913462  64
122.423077  65
123.759615  66
123.778846  67
125.355769  68
126.826923  69
128.144231  70
128.298077  71
131.298077  72
132.548077  73
134.298077  74
134.961538  75
137.269231  76
137.298077  77
140.298077  78
143.298077  79
143.576923  80
144.884615  81
146.163462  82
146.298077  83
147.461538  84
149.298077  85
149.769231  86
151.230769  87
152.298077  88
153.692308  89
155.000000  90
155.298077  91
158.298077  92
159.365385  93
161.096154  94
169.432692  95
170.701923  96
172.471154  97
175.730769  98
178.557692  99
179.903846  100
186.250000  101
187.500000  102
188.750000  103
190.009615  104

