#Simulation time: 197.63
#Flow at exit main exit( ID 3 )
#Time (s)  cummulative number of agents 

22.019231  1
25.019231  2
28.019231  3
31.019231  4
34.019231  5
37.019231  6
40.019231  7
41.567308  8
42.028846  9
43.048077  10
44.875000  11
46.019231  12
49.019231  13
50.048077  14
51.711538  15
52.019231  16
55.019231  17
55.548077  18
58.019231  19
61.019231  20
62.173077  21
62.182692  22
64.019231  23
66.019231  24
67.019231  25
67.778846  26
69.076923  27
70.019231  28
70.384615  29
72.259615  30
73.019231  31
73.903846  32
76.019231  33
78.096154  34
79.019231  35
82.019231  36
85.028846  37
85.144231  38
86.442308  39
88.019231  40
89.307692  41
91.009615  42
92.173077  43
93.471154  44
94.019231  45
94.759615  46
96.067308  47
97.019231  48
100.019231  49
102.413462  50
103.307692  51
103.721154  52
103.961538  53
106.019231  54
106.750000  55
109.019231  56
111.557692  57
112.019231  58
113.067308  59
114.394231  60
115.019231  61
116.211538  62
118.019231  63
119.076923  64
121.019231  65
122.173077  66
122.432692  67
124.028846  68
127.019231  69
128.471154  70
130.019231  71
131.192308  72
132.557692  73
133.019231  74
133.951923  75
136.019231  76
139.019231  77
142.019231  78
142.240385  79
144.413462  80
145.019231  81
147.461538  82
148.019231  83
151.019231  84
152.817308  85
154.019231  86
154.134615  87
155.625000  88
157.019231  89
158.586538  90
160.019231  91
161.019231  92
163.307692  93
166.432692  94
172.432692  95
173.750000  96
175.048077  97
176.798077  98
183.567308  99
186.288462  100
187.625000  101
188.942308  102
190.807692  103
195.663462  104

